step,lat,lon,alt,snr,load,handovers,allocated_bw,allocation_ratio,demand_MB,throughput_req,queuing_delay_s,propagation_latency_s,transmission_rate_mbps,latency_req_s,beam_capacity
0,29.90047264099121,-95.25633239746094,990.5999755859375,7.173590183258057,0.13527126610279083,1.0,0.5249999761581421,1.0,0.5249999761581421,4.199999809265137,0.0,0.008257164619863033,415.0697937011719,0.0,51.883724212646484
1,29.877906799316406,-95.22193145751953,1199.0614013671875,7.17357063293457,0.5175650715827942,2.0,15.674678802490234,1.0,15.674678802490234,4.199999809265137,0.0,0.008344078436493874,231.5687713623047,0.0,864.2300415039062
2,29.853519439697266,-95.18744659423828,1346.482177734375,7.082622528076172,0.6439947485923767,3.0,35.39750671386719,1.0,35.39750671386719,9.199999809265137,0.0,0.008617193438112736,170.8825225830078,0.10000000149011612,657.4799194335938
3,29.82722282409668,-95.15603637695312,1726.1541748046875,6.802873134613037,0.7167494297027588,4.0,34.40593719482422,1.0,34.40593719482422,9.199999809265137,0.0,0.00904459971934557,135.96026611328125,0.10000000149011612,508.4609069824219
4,29.805763244628906,-95.12190246582031,2170.571044921875,6.304337501525879,0.05598979815840721,5.0,32.55900192260742,1.0,32.55900192260742,9.199999809265137,0.0,0.008720382116734982,453.1249084472656,0.10000000149011612,1603.6190185546875
5,29.781906127929688,-95.08250427246094,2593.041259765625,6.699479103088379,0.3132839798927307,6.0,35.835670471191406,1.0,35.835670471191406,9.199999809265137,0.0,0.008436597883701324,329.6236877441406,0.10000000149011612,1283.9442138671875
6,29.777326583862305,-95.03768920898438,2946.39990234375,6.986842632293701,0.03966831415891647,7.0,38.3074951171875,1.0,38.3074951171875,11.0,0.0,0.00833969283849001,460.9591979980469,0.0,1605.2901611328125
7,29.7817325592041,-94.98989868164062,3223.260009765625,7.087188243865967,0.9943497180938721,8.0,9.431235313415527,0.24655836820602417,38.25153350830078,11.0,85.01117706298828,0.00839362945407629,2.712141990661621,0.0,9.431235313415527
8,29.78853416442871,-94.93478393554688,3357.8798828125,7.03119421005249,0.014546058140695095,9.0,76.52704620361328,1.0,76.52704620361328,21.0,0.0,0.008607503026723862,473.01788330078125,0.15000000596046448,1723.745849609375
9,29.79538345336914,-94.87628173828125,3489.9599609375,6.812645435333252,0.04164211452007294,10.0,75.0243911743164,1.0,75.0243911743164,21.0,0.0,0.008961797691881657,460.01177978515625,0.15000000596046448,1643.4334716796875
