step, snr, load, capacity, handovers, total_allocated_bw, allocation
44,-13.70657730102539,0.16923674941062927,0.08123364299535751,45.0,8534.8291015625,1.0
45,-14.095165252685547,0.9513716101646423,0.45665836334228516,46.0,8577.685546875,1.0
46,-13.15612506866455,0.7137737274169922,0.3426114022731781,47.0,8695.306640625,1.0
47,-12.954035758972168,0.3018531799316406,0.14488951861858368,48.0,9095.5849609375,0.8849636316299438
48,-12.920112609863281,0.8826507329940796,0.4236723482608795,49.0,9566.0,1.0
49,-13.069426536560059,0.244096040725708,0.11716609448194504,50.0,9695.4443359375,1.0
50,-13.733346939086914,0.9715799689292908,0.46635839343070984,51.0,9896.3251953125,1.0
51,-14.104053497314453,0.01220768503844738,0.005859688855707645,52.0,9977.416015625,1.0
52,-13.12549877166748,0.9629508852958679,0.46221643686294556,53.0,10037.505859375,1.0
53,-12.8987455368042,0.7970594763755798,0.38258856534957886,54.0,10529.142578125,1.0
54,-12.854632377624512,0.7917832732200623,0.3800559639930725,55.0,10868.4833984375,1.0
55,-13.012445449829102,0.17600156366825104,0.08448074758052826,56.0,10984.140625,1.0
56,-13.325362205505371,0.7475520372390747,0.3588249683380127,57.0,11185.4150390625,1.0
57,-13.487342834472656,0.47023722529411316,0.22571387887001038,58.0,11787.419921875,1.0
58,-13.097493171691895,0.7964150905609131,0.38227924704551697,59.0,11931.8330078125,1.0
59,-12.85854434967041,0.1175689846277237,0.056433115154504776,60.0,12038.294921875,0.8324916958808899
60,-12.795197486877441,0.5027420520782471,0.24131619930267334,61.0,12051.2373046875,1.0
61,-12.917596817016602,0.00275824754498899,0.001323958858847618,62.0,12095.01171875,0.11680576950311661
62,-13.202406883239746,2.8142108021711465e-07,1.3508211793578084e-07,63.0,12115.1240234375,0.04942784830927849
63,-13.665908813476562,0.1318882405757904,0.06330635398626328,64.0,12232.501953125,0.37227755784988403
64,-13.073548316955566,0.9574083685874939,0.4595560133457184,65.0,12327.1103515625,1.0
65,-12.815884590148926,0.9968209862709045,0.47847408056259155,66.0,12653.736328125,1.0
66,-12.7410306930542,0.22653105854988098,0.10873491317033768,67.0,13086.048828125,1.0
67,-12.847410202026367,0.38600197434425354,0.1852809488773346,68.0,13345.853515625,1.0
68,-13.141744613647461,0.02061929553747177,0.00989726185798645,69.0,13461.45703125,0.786401093006134
69,-13.583097457885742,0.3169301748275757,0.1521264761686325,70.0,13610.8388671875,1.0
70,-13.070147514343262,0.30933645367622375,0.14848150312900543,71.0,14093.0,1.0
71,-12.791177749633789,0.8596384525299072,0.4126264750957489,72.0,14149.4130859375,1.0
72,-12.694361686706543,0.22618797421455383,0.10857023298740387,73.0,14314.23828125,1.0
73,-12.785393714904785,0.6215739846229553,0.2983555197715759,74.0,14437.740234375,1.0
74,-13.068462371826172,0.0018439076375216246,0.000885075656697154,75.0,14478.869140625,0.992486298084259
75,-13.488093376159668,0.8390733003616333,0.40275517106056213,76.0,14510.7958984375,1.0
76,-13.031538963317871,0.07916385680437088,0.03799865394830704,77.0,14564.0283203125,0.10204798728227615
77,-12.750587463378906,0.8225198984146118,0.3948095738887787,78.0,14929.2685546875,1.0
78,-12.652606010437012,0.9999832510948181,0.47999197244644165,79.0,15068.28515625,1.0
79,-12.736660957336426,0.1848018318414688,0.08870488405227661,80.0,15305.2197265625,1.0
80,-13.016441345214844,0.1641581505537033,0.0787959098815918,81.0,15458.990234375,0.7897831201553345
81,-13.518942832946777,0.4166449308395386,0.19998957216739655,82.0,15777.7890625,1.0
82,-13.062018394470215,0.79817795753479,0.3831253945827484,83.0,16182.3193359375,1.0
83,-12.747693061828613,0.6581970453262329,0.31593456864356995,84.0,16390.388671875,1.0
84,-12.617695808410645,0.8523828983306885,0.4091437757015228,85.0,16484.767578125,1.0
85,-12.67789077758789,0.6132816672325134,0.2943751811981201,86.0,16619.224609375,1.0
