step,lat,lon,alt,snr,load,handovers,allocated_bw,allocation_ratio,demand_MB,throughput_req,queuing_delay_s,propagation_latency_s,transmission_rate_mbps,latency_req_s,beam_capacity,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29
0,29.90047264099121,-95.25633239746094,990.5999755859375,7.173590183258057,0.13527126610279083,1.0,0.5249999761581421,1.0,0.5249999761581421,4.199999809265137,0.0,0.008257164619863033,415.0697937011719,0.0,51.883724212646484,2.1735904216766357,0.09468988329172134,77.8255844116211,0.5249999761581421,1.0,0.0,622.6046752929688,0.10000000149011612,70.45629119873047,0.946898877620697,1.4057340621948242,-2.8264095783233643,0.0,0.5
1,29.877906799316406,-95.22193145751953,1199.0614013671875,7.17357063293457,0.5175650715827942,2.0,15.674678802490234,1.0,15.674678802490234,4.199999809265137,0.0,0.008344078436493874,231.5687713623047,0.0,864.2300415039062,2.1735706329345703,0.362295538187027,1296.3450927734375,15.674678802490234,1.0,0.0,347.3531494140625,0.10000000149011612,826.6849975585938,3.622955560684204,1.40572988986969,-2.8264293670654297,0.0,0.5
2,29.853519439697266,-95.18744659423828,1346.482177734375,7.082622528076172,0.6439947485923767,3.0,35.39750671386719,1.0,35.39750671386719,9.199999809265137,0.0,0.008617193438112736,170.8825225830078,0.10000000149011612,657.4799194335938,2.0826222896575928,0.45079633593559265,986.2198486328125,35.39750671386719,1.0,0.0,256.32379150390625,0.10000000149011612,541.6355590820312,4.507963180541992,1.3869949579238892,-2.9173777103424072,0.0,0.5
3,29.82722282409668,-95.15603637695312,1726.1541748046875,6.802873134613037,0.7167494297027588,4.0,34.40593719482422,1.0,34.40593719482422,9.199999809265137,0.0,0.00904459971934557,135.96026611328125,0.10000000149011612,508.4609069824219,1.802873134613037,0.5017246007919312,762.6913452148438,34.40593719482422,1.0,0.0,203.94039916992188,0.10000000149011612,380.03033447265625,5.017246246337891,1.3303076028823853,-3.197126865386963,0.0,0.5
4,29.805763244628906,-95.12190246582031,2170.571044921875,6.382402420043945,0.6603420972824097,5.0,32.55900192260742,1.0,32.55900192260742,9.199999809265137,0.0,0.009575191885232925,163.03578186035156,0.10000000149011612,576.9872436523438,1.3824026584625244,0.46223947405815125,865.4808349609375,32.55900192260742,1.0,0.0,244.55368041992188,0.10000000149011612,465.4214172363281,4.622395038604736,1.2478073835372925,-3.6175973415374756,0.0,0.5
5,29.781906127929688,-95.08250427246094,2593.041259765625,6.699479103088379,0.3132839798927307,6.0,35.835670471191406,1.0,35.835670471191406,9.199999809265137,0.0,0.008436597883701324,329.6236877441406,0.10000000149011612,1283.9442138671875,1.699479103088379,0.21929877996444702,1925.916259765625,35.835670471191406,1.0,0.0,494.435546875,0.10000000149011612,1503.565185546875,2.1929876804351807,1.309718132019043,-3.300520896911621,0.0,0.5
6,29.777326583862305,-95.03768920898438,2946.39990234375,6.986842632293701,0.03966831415891647,7.0,38.3074951171875,1.0,38.3074951171875,11.0,0.0,0.00833969283849001,460.9591979980469,0.0,1605.2901611328125,1.9868428707122803,0.02776782028377056,2407.935302734375,38.3074951171875,1.0,0.0,691.4388427734375,0.10000000149011612,2341.072265625,0.2776782214641571,1.3674263954162598,-3.0131571292877197,0.0,0.5
7,29.7817325592041,-94.98989868164062,3223.260009765625,7.087188243865967,0.9943497180938721,8.0,9.431235313415527,0.24655836820602417,38.25153350830078,11.0,85.01117706298828,0.00839362945407629,2.712141990661621,0.0,9.431235313415527,2.087188243865967,0.6960448026657104,14.14685344696045,4.300009727478027,0.11241404712200165,51.0067024230957,4.068212985992432,0.10000000149011612,4.300009727478027,6.960447788238525,1.3879319429397583,-2.912811756134033,5.100670337677002,0.5
8,29.78853416442871,-94.93478393554688,3357.8798828125,7.03119421005249,0.014546058140695095,9.0,76.52704620361328,1.0,76.52704620361328,21.0,0.0,0.008607503026723862,473.01788330078125,0.15000000596046448,1723.745849609375,2.031193971633911,0.010182240977883339,2585.61865234375,76.52704620361328,1.0,0.0,709.52685546875,0.10000000149011612,2559.291259765625,0.10182240605354309,1.3764671087265015,-2.968806028366089,0.0,0.5
9,29.79538345336914,-94.87628173828125,3489.9599609375,6.812645435333252,0.04164211452007294,10.0,75.0243911743164,1.0,75.0243911743164,21.0,0.0,0.008961797691881657,460.01177978515625,0.15000000596046448,1643.4334716796875,1.812645673751831,0.029149480164051056,2465.150146484375,75.0243911743164,1.0,0.0,690.0177001953125,0.10000000149011612,2393.29248046875,0.29149478673934937,1.3322638273239136,-3.187354326248169,0.0,0.5
