step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
24,29.877906799316406,-95.22193145751953,1199.0614013671875,-12.035832405090332,0.2538091838359833,0.0,5.782336711883545,1.0,5.782336711883545,9.199999809265137,0.0,0.00959272775799036,21.89194679260254,0.10000000149011612,225.1161651611328,0.0,0.0,4.97188138961792
25,29.874122619628906,-95.21601867675781,1212.9246826171875,-12.129240036010742,0.26638108491897583,0.0,5.845060348510742,1.0,5.845060348510742,9.199999809265137,0.0,0.009699736721813679,21.439695358276367,0.10000000149011612,223.72418212890625,0.0,0.0,0.0
26,29.870328903198242,-95.21004486083984,1215.1658935546875,-11.264978408813477,0.24852260947227478,1.0,5.894810676574707,1.0,5.894810676574707,9.199999809265137,0.0,0.008632993325591087,25.993982315063477,0.10000000149011612,231.12088012695312,0.0,9.874077796936035,0.0
27,29.866535186767578,-95.2040786743164,1217.4071044921875,-11.211220741271973,0.2473829835653305,1.0,5.9005255699157715,1.0,5.9005255699157715,9.199999809265137,0.0,0.008584091439843178,26.306209564208984,0.10000000149011612,231.69580078125,0.0,4.743185997009277,0.0
28,29.862592697143555,-95.1982192993164,1230.7711181640625,-11.161863327026367,0.24847666919231415,1.0,5.911161422729492,1.0,5.911161422729492,9.199999809265137,0.0,0.008539929054677486,26.596065521240234,0.10000000149011612,231.776123046875,0.0,0.0,0.0
29,29.858055114746094,-95.19283294677734,1288.626708984375,-11.116848945617676,0.2633456885814667,1.0,5.979396343231201,1.0,5.979396343231201,9.199999809265137,0.0,0.008500082418322563,26.86309814453125,0.10000000149011612,229.8129425048828,0.0,0.0,4.800524711608887
30,29.853519439697266,-95.18744659423828,1346.482177734375,-11.076297760009766,0.26567015051841736,1.0,6.49177360534668,1.0,6.49177360534668,10.0,0.0,0.008465453051030636,27.10586166381836,0.0,228.82095336914062,0.0,0.0,0.0
31,29.848981857299805,-95.18205261230469,1404.3377685546875,-4.859657287597656,0.20230528712272644,2.0,6.484221458435059,1.0,6.484221458435059,10.0,0.0,0.00843608658760786,101.93705749511719,0.0,248.276611328125,0.0,9.812623023986816,0.0
32,29.844444274902344,-95.17666625976562,1462.193359375,-11.010810852050781,0.20318838953971863,2.0,9.715030670166016,1.0,9.715030670166016,15.0,0.0,0.008412022143602371,27.502376556396484,0.15000000596046448,247.71359252929688,0.0,4.631272792816162,0.0
33,29.839906692504883,-95.17127990722656,1520.048828125,-10.986079216003418,0.19798076152801514,2.0,9.703756332397461,1.0,9.703756332397461,15.0,0.0,0.008393284864723682,27.653564453125,0.15000000596046448,249.04318237304688,0.0,0.0,0.0
34,29.835636138916016,-95.16615295410156,1587.201171875,-10.966798782348633,0.18915607035160065,2.0,9.168660163879395,1.0,9.168660163879395,15.0,0.0,0.008380397222936153,27.771987915039062,0.15000000596046448,237.89926147460938,0.0,0.0,5.110048294067383
35,29.83142852783203,-95.16109466552734,1656.6776123046875,-10.953529357910156,0.19168709218502045,2.0,9.022350311279297,1.0,9.022350311279297,15.0,0.0,0.008372360840439796,27.853776931762695,0.15000000596046448,233.3722381591797,0.0,0.0,0.29812777042388916
36,29.82722282409668,-95.15603637695312,1726.1541748046875,-10.945273399353027,0.19644565880298615,2.0,9.005678176879883,1.0,9.005678176879883,15.0,0.0,0.008368970826268196,27.90477752685547,0.15000000596046448,231.5696563720703,0.0,0.0,0.0
37,29.823307037353516,-95.15071105957031,1797.73388671875,-10.941764831542969,0.19007880985736847,2.0,8.954374313354492,1.0,8.954374313354492,15.0,0.0,0.008370117284357548,27.926477432250977,0.15000000596046448,232.0747833251953,0.0,0.0,5.224333763122559
38,29.819826126098633,-95.14497375488281,1872.468505859375,-10.942917823791504,0.18736590445041656,2.0,8.942679405212402,1.0,8.942679405212402,15.0,0.0,0.008375708945095539,27.919347763061523,0.15000000596046448,232.54803466796875,0.0,0.0,0.45490506291389465
39,29.81634521484375,-95.13924407958984,1947.203125,-10.948787689208984,0.18839016556739807,2.0,8.91041374206543,1.0,8.91041374206543,15.0,0.0,0.008385788649320602,27.883056640625,0.15000000596046448,231.4169464111328,0.0,0.0,0.0
40,29.8128662109375,-95.13351440429688,2021.937744140625,-10.959305763244629,0.1924130618572235,2.0,8.878381729125977,1.0,8.878381729125977,15.0,0.0,0.008400293998420238,27.818145751953125,0.15000000596046448,229.4420928955078,0.0,0.0,5.264863014221191
41,29.809385299682617,-95.1277847290039,2096.67236328125,-10.974388122558594,0.19384075701236725,2.0,8.84658145904541,1.0,8.84658145904541,15.0,0.0,0.008419155143201351,27.72531509399414,0.15000000596046448,228.21609497070312,0.0,0.0,0.5466863512992859
42,29.805763244628906,-95.12190246582031,2170.571044921875,-10.993931770324707,0.20135779678821564,2.0,9.083306312561035,1.0,9.083306312561035,15.0,0.0,0.008443097583949566,27.6054744720459,0.15000000596046448,232.13796997070312,0.0,0.0,0.0
43,29.801578521728516,-95.11542510986328,2241.126708984375,-11.018648147583008,0.21844352781772614,2.0,10.117069244384766,1.0,10.117069244384766,15.0,0.0,0.008475254289805889,27.454627990722656,0.15000000596046448,253.02593994140625,0.0,0.0,4.604229927062988
44,29.797391891479492,-95.10894012451172,2311.68212890625,-11.051765441894531,0.22257442772388458,2.0,10.05970287322998,1.0,10.05970287322998,15.0,0.0,0.008512793108820915,27.25374984741211,0.15000000596046448,250.26145935058594,0.0,0.0,0.0
45,29.7932071685791,-95.10246276855469,2382.23779296875,-11.090250015258789,0.21663539111614227,2.0,10.0029878616333,1.0,10.0029878616333,15.0,0.0,0.008555550128221512,27.022096633911133,0.15000000596046448,250.75155639648438,0.0,0.0,4.665073394775391
46,29.78902244567871,-95.09597778320312,2452.793212890625,-11.133865356445312,0.19658508896827698,2.0,9.94690990447998,1.0,9.94690990447998,15.0,0.0,0.008603360503911972,26.761852264404297,0.15000000596046448,255.72787475585938,0.0,0.0,0.0
47,29.78483772277832,-95.08949279785156,2523.348876953125,-11.182363510131836,0.26712021231651306,3.0,9.891461372375488,1.0,9.891461372375488,15.0,0.0,0.008656051941215992,26.475303649902344,0.15000000596046448,231.97607421875,0.0,9.724554061889648,0.0
48,29.781906127929688,-95.08250427246094,2593.041259765625,-11.235153198242188,0.2592601180076599,3.0,9.449576377868652,1.0,9.449576377868652,15.0,0.0,0.008710717782378197,26.166765213012695,0.15000000596046448,223.9897003173828,0.0,4.684779644012451,0.0
49,29.779287338256836,-95.07538604736328,2662.517578125,-11.289817810058594,0.25663289427757263,3.0,9.34508991241455,1.0,9.34508991241455,15.0,0.0,0.008769089356064796,25.850921630859375,0.15000000596046448,222.2986297607422,0.0,0.0,0.0
50,29.776670455932617,-95.06826782226562,2731.994140625,-11.347894668579102,0.2631671726703644,3.0,9.280159950256348,1.0,9.280159950256348,15.0,0.0,0.008831299841403961,25.519390106201172,0.15000000596046448,218.81365966796875,0.0,0.0,5.050580978393555
51,29.775362014770508,-95.06090545654297,2794.0,-11.409043312072754,0.25879326462745667,3.0,8.958480834960938,1.0,8.958480834960938,15.0,0.0,0.008894916623830795,25.174758911132812,0.15000000596046448,212.48277282714844,0.0,0.0,0.27272462844848633
52,29.776016235351562,-95.05316925048828,2844.800048828125,-11.470932006835938,0.25790470838546753,3.0,9.175374031066895,1.0,9.175374031066895,15.0,0.0,0.008963447995483875,24.830537796020508,0.15000000596046448,217.8880615234375,0.0,0.0,0.0
53,29.77667236328125,-95.04542541503906,2895.60009765625,-11.537619590759277,0.27096813917160034,3.0,9.087175369262695,1.0,9.087175369262695,15.0,0.0,0.009035038761794567,24.464710235595703,0.15000000596046448,211.99490356445312,0.0,0.0,5.153506278991699
54,29.777326583862305,-95.03768920898438,2946.39990234375,-11.606741905212402,0.26789066195487976,3.0,9.000655174255371,1.0,9.000655174255371,15.0,0.0,0.00910950917750597,24.091028213500977,0.15000000596046448,210.86285400390625,0.0,0.0,5.199650287628174
55,29.77798080444336,-95.02995300292969,2997.199951171875,-11.67806625366211,0.2761414349079132,3.0,8.915765762329102,1.0,8.915765762329102,15.0,0.0,0.009186686016619205,23.711233139038086,0.15000000596046448,206.52011108398438,0.0,0.0,5.244924545288086
56,29.778635025024414,-95.022216796875,3048.0,-11.75136947631836,0.2818145453929901,3.0,8.832462310791016,1.0,8.832462310791016,15.0,0.0,0.009266405366361141,23.326934814453125,0.15000000596046448,202.987060546875,0.0,0.0,0.5342783331871033
57,29.7792911529541,-95.01447296142578,3098.800048828125,-11.826443672180176,0.2686619758605957,3.0,8.750699043273926,1.0,8.750699043273926,15.0,0.0,0.009348506107926369,22.939607620239258,0.15000000596046448,204.791015625,0.0,0.0,5.332960605621338
58,29.779945373535156,-95.0067367553711,3149.60009765625,-11.903088569641113,0.28029999136924744,3.0,8.670434951782227,1.0,8.670434951782227,15.0,0.0,0.009432838298380375,22.55060386657715,0.15000000596046448,199.68359375,0.0,0.0,5.375767707824707
59,29.78059959411621,-94.9990005493164,3200.39990234375,-11.981117248535156,0.27960535883903503,3.0,8.591629028320312,1.0,8.591629028320312,15.0,0.0,0.009519255720078945,22.161142349243164,0.15000000596046448,198.0596466064453,0.0,0.0,0.7935654520988464
60,29.7817325592041,-94.98989868164062,3223.260009765625,-12.060155868530273,0.2785707414150238,3.0,9.977202415466309,1.0,9.977202415466309,15.0,0.0,0.009623131714761257,21.77329444885254,0.15000000596046448,230.33106994628906,0.0,0.0,4.678825378417969
61,29.782867431640625,-94.98079681396484,3246.1201171875,-12.154454231262207,0.2804988622665405,3.0,9.80220890045166,1.0,9.80220890045166,15.0,0.0,0.009728671982884407,21.31917953491211,0.15000000596046448,225.68641662597656,0.0,0.0,0.0
62,29.784000396728516,-94.9717025756836,3268.97998046875,-5.08305549621582,0.32803571224212646,4.0,9.633244514465332,1.0,9.633244514465332,15.0,0.0,0.008742950856685638,97.45712280273438,0.15000000596046448,207.1422882080078,0.0,9.862269401550293,0.0
63,29.785133361816406,-94.96260070800781,3291.840087890625,-11.321067810058594,0.3199893832206726,4.0,9.470003128051758,1.0,9.470003128051758,15.0,0.0,0.00869345385581255,25.67201805114746,0.15000000596046448,206.0704803466797,0.0,4.811601161956787,0.0
64,29.786266326904297,-94.95349884033203,3314.699951171875,-11.271721839904785,0.3165326714515686,4.0,9.312198638916016,1.0,9.312198638916016,15.0,0.0,0.008649121038615704,25.955068588256836,0.15000000596046448,203.6666717529297,0.0,0.0,0.0
