step, snr, load, capacity, handovers, total_allocated_bw, allocation
0,-15.290815353393555,0.01535643357783556,0.007371088024228811,1.0,1.6029317378997803,1.0
1,-12.844210624694824,0.5454311966896057,0.2618069648742676,2.0,145.73818969726562,1.0
2,-12.868256568908691,0.23175476491451263,0.11124228686094284,3.0,318.68109130859375,0.575710654258728
3,-12.942523956298828,0.9545601010322571,0.45818883180618286,4.0,530.7339477539062,1.0
4,-13.05945873260498,0.44129231572151184,0.2118203192949295,5.0,589.4821166992188,1.0
5,-13.21956729888916,0.42091798782348633,0.2020406424999237,6.0,666.9837646484375,1.0
6,-13.735833168029785,0.11500100046396255,0.0552004799246788,7.0,768.0404052734375,0.5374879837036133
7,-13.341400146484375,0.14288006722927094,0.0685824304819107,8.0,820.7811279296875,1.0
8,-13.157196998596191,0.7332110404968262,0.3519412875175476,9.0,893.6123046875,1.0
9,-12.976161003112793,0.4029247760772705,0.19340388476848602,10.0,1027.32275390625,1.0
10,-12.942402839660645,0.9555725455284119,0.458674818277359,11.0,1060.4534912109375,1.0
11,-12.994004249572754,0.850866973400116,0.40841615200042725,12.0,1406.2452392578125,1.0
12,-13.203805923461914,0.24196188151836395,0.11614169925451279,13.0,1505.9503173828125,1.0
13,-13.392733573913574,0.5698200464248657,0.2735136151313782,14.0,1985.280517578125,1.0
14,-13.811622619628906,0.9832332730293274,0.471951961517334,15.0,2388.888427734375,1.0
15,-13.526119232177734,0.8295682668685913,0.39819276332855225,16.0,2619.289306640625,1.0
16,-13.06208610534668,0.7160592079162598,0.3437083959579468,17.0,3043.9404296875,1.0
17,-13.035760879516602,0.219560906291008,0.10538923740386963,18.0,3208.836181640625,1.0
18,-13.18587875366211,0.5133755803108215,0.24642027914524078,19.0,3509.349609375,1.0
19,-13.48575210571289,0.004142196848988533,0.001988254487514496,20.0,3511.876708984375,0.007921924814581871
20,-13.74842643737793,0.027727801352739334,0.01330934464931488,21.0,3674.57470703125,0.4859391450881958
21,-13.409542083740234,0.1949523538351059,0.09357713162899017,22.0,3850.736572265625,1.0
22,-13.11941909790039,0.3231511414051056,0.15511254966259003,23.0,3999.43701171875,1.0
23,-13.30331802368164,0.2803601920604706,0.13457289338111877,24.0,4312.384765625,0.753952145576477
24,-13.471062660217285,0.4190707206726074,0.2011539489030838,25.0,4424.33837890625,1.0
25,-13.563153266906738,0.6677192449569702,0.3205052316188812,26.0,4814.7041015625,1.0
26,-13.644721031188965,0.6644991040229797,0.3189595937728882,27.0,4948.69189453125,1.0
27,-13.3448486328125,0.6606277227401733,0.31710129976272583,28.0,5133.166015625,1.0
28,-13.181449890136719,0.43615004420280457,0.2093520164489746,29.0,5314.923828125,1.0
29,-13.224180221557617,0.380749374628067,0.18275970220565796,30.0,5332.15869140625,1.0
30,-13.479076385498047,0.4222756028175354,0.20269228518009186,31.0,5534.95458984375,1.0
31,-14.042945861816406,0.04348195344209671,0.02087133750319481,32.0,5711.7431640625,0.6947015523910522
32,-13.39487075805664,0.2642170786857605,0.12682418525218964,33.0,6021.64599609375,1.0
33,-13.383954048156738,0.8587098121643066,0.41218072175979614,34.0,6549.43115234375,1.0
34,-13.058418273925781,0.5583812594413757,0.2680230140686035,35.0,6902.4609375,1.0
35,-13.301362037658691,0.43246012926101685,0.20758086442947388,36.0,6953.271484375,1.0
36,-13.249171257019043,0.016939137130975723,0.008130786009132862,37.0,7026.62060546875,0.15706458687782288
37,-13.93246841430664,0.6360694169998169,0.3053133189678192,38.0,7390.7587890625,1.0
38,-14.08098030090332,0.295324444770813,0.14175572991371155,39.0,7598.7392578125,0.966934323310852
39,-13.299566268920898,0.004011672455817461,0.001925602788105607,40.0,7598.78173828125,0.0001878718176158145
40,-13.050710678100586,0.00828467309474945,0.003976643085479736,41.0,7669.03125,0.3109365701675415
41,-12.975123405456543,0.88791823387146,0.4262007474899292,42.0,7876.8271484375,1.0
42,-13.37924575805664,0.31035688519477844,0.1489713042974472,43.0,7989.0439453125,1.0
