step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
0,29.956899642944336,-95.33689880371094,327.6600036621094,18.503131866455078,0.6591103076934814,0.0,2.1875,1.0,2.1875,17.5,0.0,0.05268693342804909,17.5,0.20000000298023224,60.0,0.0,4.0,0.0
1,29.954181671142578,-95.33330535888672,365.760009765625,8.830511093139648,0.6587289571762085,0.0,11.94096565246582,1.0,11.94096565246582,17.5,8.120488454063624e-16,0.053197167813777924,17.5,0.20000000298023224,327.52362060546875,0.0,0.0,0.0
2,29.951461791992188,-95.3297119140625,403.8599853515625,8.82386589050293,0.6699905395507812,0.0,11.613518714904785,1.0,11.613518714904785,17.5,0.0,0.052592553198337555,17.5,0.20000000298023224,318.542236328125,0.0,0.0,0.0
3,29.94874382019043,-95.32611846923828,441.9599914550781,17.49212074279785,0.6834017634391785,1.0,11.303560256958008,1.0,11.303560256958008,17.5,0.0,0.05270303413271904,17.5,0.20000000298023224,310.04052734375,0.0,0.0,0.0
4,29.945999145507812,-95.32227325439453,472.44000244140625,9.128863334655762,0.6705376505851746,1.0,11.410676956176758,1.0,11.410676956176758,17.5,0.0,0.05396832525730133,17.5,0.20000000298023224,312.97857666015625,0.0,0.0,0.0
5,29.94325065612793,-95.31836700439453,501.0150146484375,22.563373565673828,0.6794192790985107,2.0,11.143284797668457,1.0,11.143284797668457,17.5,0.0,0.055377084761857986,17.5,0.20000000298023224,305.6444091796875,0.0,0.0,0.0
6,29.940500259399414,-95.31446075439453,529.5900268554688,9.031777381896973,0.6718699336051941,2.0,10.779613494873047,1.0,10.779613494873047,17.5,0.0,0.05175439640879631,17.5,0.20000000298023224,295.6694030761719,0.0,0.0,0.07217676192522049
7,29.937694549560547,-95.31027221679688,553.8787231445312,8.902657508850098,0.6630402207374573,2.0,10.935956001281738,1.0,10.935956001281738,17.5,0.0,0.05224119499325752,17.5,0.20000000298023224,299.9576416015625,0.0,0.0,0.0
8,29.934850692749023,-95.30590057373047,575.3099975585938,20.67586326599121,0.7182968854904175,3.0,10.882126808166504,1.0,10.882126808166504,17.5,0.0,0.052450694143772125,17.5,0.20000000298023224,298.481201171875,0.0,0.025313377380371094,0.0
9,29.9320068359375,-95.30152130126953,596.7412719726562,9.49386215209961,0.7224628925323486,3.0,10.494855880737305,1.0,10.494855880737305,17.5,0.0,0.056311506778001785,17.5,0.20000000298023224,287.85888671875,0.0,0.0,0.0
10,29.928987503051758,-95.29693603515625,620.0775146484375,9.517546653747559,0.7294533252716064,3.0,10.663169860839844,1.0,10.663169860839844,17.5,0.0,0.052512142807245255,17.5,0.20000000298023224,292.4754943847656,0.0,0.0,0.12540817260742188
11,29.92570686340332,-95.29203033447266,646.271240234375,9.582345962524414,0.7154185175895691,3.0,11.065145492553711,1.0,11.065145492553711,17.5,0.0,0.05812975764274597,17.5,0.20000000298023224,303.50115966796875,0.0,0.0,0.0
12,29.92242431640625,-95.28712463378906,672.4650268554688,9.310503959655762,0.7119540572166443,3.0,10.686074256896973,1.0,10.686074256896973,17.5,0.0,0.05268770456314087,17.5,0.20000000298023224,293.103759765625,0.0,0.0,0.11493728309869766
13,29.919055938720703,-95.28216552734375,704.8499755859375,9.203421592712402,0.7107956409454346,3.0,10.540704727172852,1.0,10.540704727172852,17.5,0.0,0.05295638367533684,17.5,0.20000000298023224,289.116455078125,0.0,0.0,0.0
14,29.915340423583984,-95.2770004272461,762.0,9.204740524291992,0.7254211902618408,4.0,11.062874794006348,1.0,11.062874794006348,17.5,0.0,0.058486733585596085,17.5,0.20000000298023224,303.4388427734375,0.0,0.0,0.0
