step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity, service_drop_s, dwell_remaining_s, ttt_remaining_s
0,29.956899642944336,-95.33689880371094,327.6600036621094,18.503131866455078,0.6591103076934814,0.0,0.5625,1.0,0.5625,4.5,0.0,0.05268693342804909,4.5,0.20000000298023224,60.0,0.0,4.0,0.0
1,29.954181671142578,-95.33330535888672,365.760009765625,8.830511093139648,0.6599059104919434,0.0,3.0705339908599854,1.0,3.0705339908599854,4.5,0.0,0.053876351565122604,4.5,0.20000000298023224,327.52362060546875,0.0,0.0,0.0
2,29.951461791992188,-95.3297119140625,403.8599853515625,8.838869094848633,0.6774901747703552,0.0,2.9863333702087402,1.0,2.9863333702087402,4.5,0.0,0.05309506505727768,4.5,0.20000000298023224,318.542236328125,0.0,0.0,0.0
3,29.94874382019043,-95.32611846923828,441.9599914550781,17.595094680786133,0.6968622207641602,1.0,2.906629800796509,1.0,2.906629800796509,4.5,0.0,0.0528242327272892,4.5,0.20000000298023224,310.04052734375,0.0,0.0,0.0
4,29.945999145507812,-95.32227325439453,472.44000244140625,9.317548751831055,0.6896368265151978,1.0,2.934174060821533,1.0,2.934174060821533,4.5,0.0,0.05241655930876732,4.5,0.20000000298023224,312.97857666015625,0.0,0.0,0.0
5,29.94325065612793,-95.31836700439453,501.0150146484375,22.819997787475586,0.7035772800445557,2.0,2.8654162883758545,1.0,2.8654162883758545,4.5,0.0,0.05590791255235672,4.5,0.20000000298023224,305.6444091796875,0.0,0.0,0.0
6,29.940500259399414,-95.31446075439453,529.5900268554688,9.372036933898926,0.7011088728904724,2.0,2.7719006538391113,1.0,2.7719006538391113,4.5,0.0,0.05247863382101059,4.5,0.20000000298023224,295.6694030761719,0.0,0.0,0.07217676192522049
7,29.937694549560547,-95.31027221679688,553.8787231445312,9.307987213134766,0.6970107555389404,2.0,2.812102794647217,1.0,2.812102794647217,4.5,0.0,0.053171224892139435,4.5,0.20000000298023224,299.9576416015625,0.0,0.0,0.0
8,29.934850692749023,-95.30590057373047,575.3099975585938,21.2067813873291,0.7568557858467102,3.0,2.7982611656188965,1.0,2.7982611656188965,4.5,0.0,0.05371840298175812,4.5,0.20000000298023224,298.481201171875,0.0,0.025313377380371094,0.0
9,29.9320068359375,-95.30152130126953,596.7412719726562,10.133139610290527,0.7654076814651489,3.0,2.6986773014068604,1.0,2.6986773014068604,4.5,0.0,0.05366066098213196,4.5,0.20000000298023224,287.85888671875,0.0,0.0,0.0
10,29.928987503051758,-95.29693603515625,620.0775146484375,10.247618675231934,0.7764357328414917,3.0,2.741957902908325,1.0,2.741957902908325,4.5,0.0,0.055123161524534225,4.5,0.20000000298023224,292.4754943847656,0.0,0.0,0.12540817260742188
11,29.92570686340332,-95.29203033447266,646.271240234375,10.410743713378906,0.7663045525550842,3.0,2.845323324203491,1.0,2.845323324203491,4.5,0.0,0.05125507339835167,4.5,0.20000000298023224,303.50115966796875,0.0,0.0,0.0
12,29.92242431640625,-95.28712463378906,672.4650268554688,10.166068077087402,0.7666729092597961,3.0,2.74784779548645,1.0,2.74784779548645,4.5,0.0,0.05151308327913284,4.5,0.20000000298023224,293.103759765625,0.0,0.0,0.11493728309869766
13,29.919055938720703,-95.28216552734375,704.8499755859375,10.118388175964355,0.7690003514289856,3.0,2.7104668617248535,1.0,2.7104668617248535,4.5,0.0,0.0531807616353035,4.5,0.20000000298023224,289.116455078125,0.0,0.0,0.0
14,29.915340423583984,-95.2770004272461,762.0,10.19863224029541,0.7867673635482788,4.0,2.8447391986846924,1.0,2.8447391986846924,4.5,0.0,0.052034761756658554,4.5,0.20000000298023224,303.4388427734375,0.0,0.0,0.0
15,29.911623001098633,-95.27183532714844,819.1500244140625,10.387611389160156,0.783126175403595,4.0,2.80237078666687,1.0,2.80237078666687,4.5,0.0,0.05275510251522064,4.5,0.20000000298023224,298.9195556640625,0.0,0.0,0.018007362261414528
16,29.907907485961914,-95.26667022705078,876.2999877929688,10.246908187866211,0.7832584977149963,4.0,2.7612478733062744,1.0,2.7612478733062744,4.5,0.0,0.05229954048991203,4.5,0.20000000298023224,294.5331115722656,0.0,0.0,0.0
17,29.904190063476562,-95.2614974975586,933.4500122070312,10.179892539978027,0.7902520298957825,4.0,2.721315860748291,1.0,2.721315860748291,4.5,0.0,0.05339660495519638,4.5,0.20000000298023224,290.2737121582031,0.0,0.0,0.1621050238609314
18,29.90047264099121,-95.25633239746094,990.5999755859375,10.250463485717773,0.7871193289756775,4.0,2.6825242042541504,1.0,2.6825242042541504,4.5,0.0,0.056233394891023636,4.5,0.20000000298023224,286.13592529296875,0.0,0.0,0.23106810450553894
19,29.896745681762695,-95.25103759765625,1042.579345703125,10.112264633178711,0.7886561155319214,4.0,2.693821430206299,1.0,2.693821430206299,4.5,0.0,0.05308754742145538,4.5,0.20000000298023224,287.3409423828125,0.0,0.0,0.21098415553569794
20,29.89297866821289,-95.2452163696289,1073.875732421875,10.066761016845703,0.7786755561828613,4.0,2.860830068588257,1.0,2.860830068588257,4.5,0.0,0.052528657019138336,4.5,0.20000000298023224,305.15521240234375,0.0,0.0,0.0
21,29.889211654663086,-95.23939514160156,1105.172119140625,9.78177547454834,0.793026328086853,4.0,2.8526313304901123,1.0,2.8526313304901123,4.5,0.0,0.05687133967876434,4.5,0.20000000298023224,304.2806701660156,0.0,0.0,0.0
22,29.88544273376465,-95.23357391357422,1136.4686279296875,9.985832214355469,0.7999855875968933,4.0,2.84447979927063,1.0,2.84447979927063,4.5,0.0,0.058264248073101044,4.5,0.20000000298023224,303.4111633300781,0.0,0.0,0.0
23,29.881675720214844,-95.22775268554688,1167.7650146484375,19.047876358032227,0.8062639832496643,5.0,2.8363749980926514,1.0,2.8363749980926514,4.5,0.0,0.06476540118455887,4.5,0.20000000298023224,302.5466613769531,0.0,0.0,0.0
