seconds,datetime,latitude,longitude,speed_mph,altitude_ft
0.0,1900-01-01 10:48:57,29.9569,-95.3369,183.0,1075.0
30.0,1900-01-01 10:49:27,29.9405,-95.3144625,220.125,1737.5
60.0,1900-01-01 10:49:57,29.922424999999997,-95.287125,273.5,2206.25
90.0,1900-01-01 10:50:27,29.900473333333334,-95.25633333333333,303.53333333333336,3250.0
120.0,1900-01-01 10:50:57,29.877907142857143,-95.22192857142858,311.64285714285717,3933.9285714285716
150.0,1900-01-01 10:51:27,29.853518518518516,-95.18744444444444,311.81481481481484,4417.592592592593
180.0,1900-01-01 10:51:57,29.827223529411764,-95.15603529411766,314.6470588235294,5663.235294117647
210.0,1900-01-01 10:52:27,29.805762962962962,-95.1219037037037,321.3703703703704,7121.2962962962965
240.0,1900-01-01 10:52:57,29.78190588235294,-95.08250588235293,332.88235294117646,8507.35294117647
270.0,1900-01-01 10:53:27,29.777326190476188,-95.03769047619048,350.3333333333333,9666.666666666666
300.0,1900-01-01 10:53:57,29.781733333333335,-94.98989999999999,373.6666666666667,10575.0
330.0,1900-01-01 10:54:27,29.788533333333334,-94.93478333333334,413.0,11016.666666666666
360.0,1900-01-01 10:54:57,29.795383333333334,-94.87628333333333,446.6666666666667,11450.0
390.0,1900-01-01 10:55:27,29.80265,-94.81311666666667,466.1666666666667,12120.833333333334
420.0,1900-01-01 10:55:57,29.81075,-94.74681666666666,473.8333333333333,13112.5
450.0,1900-01-01 10:56:27,29.819285714285712,-94.68141785714286,482.4642857142857,13996.42857142857
480.0,1900-01-01 10:56:57,29.831466666666667,-94.61646666666667,483.1666666666667,15029.166666666666
510.0,1900-01-01 10:57:27,29.848466666666667,-94.55460952380953,496.73809523809524,15582.738095238095
540.0,1900-01-01 10:57:57,29.8673,-94.48621666666666,511.5,16050.0
570.0,1900-01-01 10:58:27,29.8865,-94.41668333333334,519.0,16687.5
600.0,1900-01-01 10:58:57,29.910414285714285,-94.35081428571429,524.4642857142857,17358.035714285714
630.0,1900-01-01 10:59:27,29.9399,-94.28472,527.7,18077.5
660.0,1900-01-01 10:59:57,29.97291764705882,-94.22274999999999,532.7647058823529,18686.029411764706
690.0,1900-01-01 11:00:27,30.00922,-94.16286,536.3,19285.0
720.0,1900-01-01 11:00:57,30.049026666666666,-94.10231,541.6,19846.666666666668
750.0,1900-01-01 11:01:27,30.089013333333334,-94.04097555555556,547.0888888888888,20383.88888888889
780.0,1900-01-01 11:01:57,30.12911891891892,-93.9808081081081,552.2972972972973,20910.135135135137
810.0,1900-01-01 11:02:27,30.17019,-93.92407666666668,557.1666666666666,21418.333333333332
840.0,1900-01-01 11:02:57,30.214896666666668,-93.86338666666666,562.0333333333333,21973.333333333332
870.0,1900-01-01 11:03:27,30.259776666666664,-93.80303,562.8666666666667,22672.5
900.0,1900-01-01 11:03:57,30.30401666666667,-93.74401666666667,558.1333333333333,23376.666666666668
930.0,1900-01-01 11:04:27,30.346456666666665,-93.68754000000001,532.7666666666667,24905.833333333332
960.0,1900-01-01 11:04:57,30.3872,-93.631625,526.625,25804.6875
990.0,1900-01-01 11:05:27,30.426616666666668,-93.57058333333333,544.75,25916.666666666668
1020.0,1900-01-01 11:05:57,30.46248,-93.50626,560.9,26012.5
1050.0,1900-01-01 11:06:27,30.495476470588237,-93.43767647058823,572.6470588235294,26126.470588235294
1080.0,1900-01-01 11:06:57,30.52736666666667,-93.36485333333333,574.2666666666667,26535.0
1110.0,1900-01-01 11:07:27,30.558325806451613,-93.29445806451614,574.0,27012.09677419355
1140.0,1900-01-01 11:07:57,30.5885,-93.22151111111111,574.0,27422.222222222223
1170.0,1900-01-01 11:08:27,30.6129,-93.14651111111111,576.6666666666666,27833.333333333332
1200.0,1900-01-01 11:08:57,30.628700000000002,-93.06838,578.0,28260.0
1230.0,1900-01-01 11:09:27,30.643060000000002,-92.98879,577.7,28702.5
1260.0,1900-01-01 11:09:57,30.65823,-92.91136,577.6,29112.5
1290.0,1900-01-01 11:10:27,30.673445161290324,-92.83364838709677,579.0,29512.90322580645
1320.0,1900-01-01 11:10:57,30.688826666666667,-92.75403333333333,578.7333333333333,29990.0
1350.0,1900-01-01 11:11:27,30.703979999999998,-92.67463333333333,577.7333333333333,30508.333333333332
1380.0,1900-01-01 11:11:57,30.71909677419355,-92.59487741935484,577.258064516129,30971.774193548386
1410.0,1900-01-01 11:12:27,30.733706666666667,-92.51714666666668,576.3666666666667,31395.833333333332
1440.0,1900-01-01 11:12:57,30.74837666666667,-92.43892666666666,570.0666666666667,31910.0
1470.0,1900-01-01 11:13:27,30.763066666666667,-92.36026,567.2333333333333,32019.166666666668
1500.0,1900-01-01 11:13:57,30.7773,-92.2834,568.4375,32000.0
1530.0,1900-01-01 11:14:27,30.792183333333334,-92.203,569.6666666666666,32000.0
1560.0,1900-01-01 11:14:57,30.806383333333333,-92.12613333333333,567.5,32083.333333333332
