seconds,datetime,latitude,longitude,speed_mph,altitude_ft
0.0,1900-01-01 10:48:57,29.9569,-95.3369,183.0,1075.0
10.0,1900-01-01 10:49:07,29.9514625,-95.3297125,193.625,1325.0
20.0,1900-01-01 10:49:17,29.945999999999998,-95.322275,205.75,1550.0
30.0,1900-01-01 10:49:27,29.9405,-95.3144625,220.125,1737.5
40.0,1900-01-01 10:49:37,29.934849999999997,-95.30590000000001,237.0,1887.5
50.0,1900-01-01 10:49:47,29.928987499999998,-95.2969375,254.75,2034.375
60.0,1900-01-01 10:49:57,29.922424999999997,-95.287125,273.5,2206.25
70.0,1900-01-01 10:50:07,29.91534,-95.277,286.2,2500.0
80.0,1900-01-01 10:50:17,29.907906666666666,-95.26666666666667,294.8666666666667,2875.0
90.0,1900-01-01 10:50:27,29.900473333333334,-95.25633333333333,303.53333333333336,3250.0
100.0,1900-01-01 10:50:37,29.89297857142857,-95.24521428571428,308.07142857142856,3523.214285714286
110.0,1900-01-01 10:50:47,29.88544285714286,-95.23357142857142,309.85714285714283,3728.5714285714284
120.0,1900-01-01 10:50:57,29.877907142857143,-95.22192857142858,311.64285714285717,3933.9285714285716
130.0,1900-01-01 10:51:07,29.870329411764704,-95.21004705882352,311.52941176470586,3986.764705882353
140.0,1900-01-01 10:51:17,29.86259259259259,-95.19822222222221,311.0740740740741,4037.962962962963
150.0,1900-01-01 10:51:27,29.853518518518516,-95.18744444444444,311.81481481481484,4417.592592592593
160.0,1900-01-01 10:51:37,29.84444444444444,-95.17666666666666,312.55555555555554,4797.222222222223
170.0,1900-01-01 10:51:47,29.835635294117647,-95.16615294117646,313.47058823529414,5207.35294117647
180.0,1900-01-01 10:51:57,29.827223529411764,-95.15603529411766,314.6470588235294,5663.235294117647
190.0,1900-01-01 10:52:07,29.819826923076924,-95.14497692307692,316.61538461538464,6143.2692307692305
200.0,1900-01-01 10:52:17,29.812865384615385,-95.13351538461538,318.9230769230769,6633.653846153846
210.0,1900-01-01 10:52:27,29.805762962962962,-95.1219037037037,321.3703703703704,7121.2962962962965
220.0,1900-01-01 10:52:37,29.79739259259259,-95.10894074074074,325.0740740740741,7584.259259259259
230.0,1900-01-01 10:52:47,29.789022222222222,-95.09597777777778,328.77777777777777,8047.222222222223
240.0,1900-01-01 10:52:57,29.78190588235294,-95.08250588235293,332.88235294117646,8507.35294117647
250.0,1900-01-01 10:53:07,29.77667058823529,-95.0682705882353,337.5882352941176,8963.235294117647
260.0,1900-01-01 10:53:17,29.776016666666663,-95.05316666666666,343.6666666666667,9333.333333333334
270.0,1900-01-01 10:53:27,29.777326190476188,-95.03769047619048,350.3333333333333,9666.666666666666
280.0,1900-01-01 10:53:37,29.778635714285713,-95.02221428571428,357.0,10000.0
290.0,1900-01-01 10:53:47,29.779945238095237,-95.00673809523809,363.6666666666667,10333.333333333334
300.0,1900-01-01 10:53:57,29.781733333333335,-94.98989999999999,373.6666666666667,10575.0
310.0,1900-01-01 10:54:07,29.784,-94.9717,387.0,10725.0
320.0,1900-01-01 10:54:17,29.78626666666667,-94.9535,400.3333333333333,10875.0
330.0,1900-01-01 10:54:27,29.788533333333334,-94.93478333333334,413.0,11016.666666666666
340.0,1900-01-01 10:54:37,29.7908,-94.91555,425.0,11150.0
350.0,1900-01-01 10:54:47,29.793066666666668,-94.89631666666668,437.0,11283.333333333334
360.0,1900-01-01 10:54:57,29.795383333333334,-94.87628333333333,446.6666666666667,11450.0
370.0,1900-01-01 10:55:07,29.79775,-94.85545,454.0,11650.0
380.0,1900-01-01 10:55:17,29.800116666666668,-94.83461666666668,461.3333333333333,11850.0
390.0,1900-01-01 10:55:27,29.80265,-94.81311666666667,466.1666666666667,12120.833333333334
400.0,1900-01-01 10:55:37,29.80535,-94.79095000000001,468.5,12462.5
410.0,1900-01-01 10:55:47,29.80805,-94.76878333333333,470.8333333333333,12804.166666666666
420.0,1900-01-01 10:55:57,29.81075,-94.74681666666666,473.8333333333333,13112.5
430.0,1900-01-01 10:56:07,29.81345,-94.72505000000001,477.5,13387.5
440.0,1900-01-01 10:56:17,29.81615,-94.70328333333333,481.1666666666667,13662.5
450.0,1900-01-01 10:56:27,29.819285714285712,-94.68141785714286,482.4642857142857,13996.42857142857
460.0,1900-01-01 10:56:37,29.822857142857142,-94.65945357142857,481.39285714285717,14389.285714285714
470.0,1900-01-01 10:56:47,29.826428571428572,-94.63748928571428,480.32142857142856,14782.142857142857
480.0,1900-01-01 10:56:57,29.831466666666667,-94.61646666666667,483.1666666666667,15029.166666666666
490.0,1900-01-01 10:57:07,29.837133333333334,-94.59584761904762,487.6904761904762,15213.690476190477
500.0,1900-01-01 10:57:17,29.8428,-94.57522857142858,492.2142857142857,15398.214285714286
510.0,1900-01-01 10:57:27,29.848466666666667,-94.55460952380953,496.73809523809524,15582.738095238095
520.0,1900-01-01 10:57:37,29.854499999999998,-94.53268333333334,501.5,15750.0
530.0,1900-01-01 10:57:47,29.8609,-94.50945,506.5,15900.0
540.0,1900-01-01 10:57:57,29.8673,-94.48621666666666,511.5,16050.0
550.0,1900-01-01 10:58:07,29.8737,-94.46301666666666,515.0,16237.5
560.0,1900-01-01 10:58:17,29.8801,-94.43985,517.0,16462.5
570.0,1900-01-01 10:58:27,29.8865,-94.41668333333334,519.0,16687.5
580.0,1900-01-01 10:58:37,29.893842857142857,-94.39424285714286,520.8928571428571,16911.60714285714
590.0,1900-01-01 10:58:47,29.902128571428573,-94.37252857142857,522.6785714285714,17134.821428571428
600.0,1900-01-01 10:58:57,29.910414285714285,-94.35081428571429,524.4642857142857,17358.035714285714
610.0,1900-01-01 10:59:07,29.919900000000002,-94.32885333333334,525.7,17594.166666666668
620.0,1900-01-01 10:59:17,29.9299,-94.30678666666667,526.7,17835.833333333332
630.0,1900-01-01 10:59:27,29.9399,-94.28472,527.7,18077.5
640.0,1900-01-01 10:59:37,29.95068235294118,-94.26375,529.2352941176471,18288.970588235294
650.0,1900-01-01 10:59:47,29.9618,-94.24324999999999,531.0,18487.5
660.0,1900-01-01 10:59:57,29.97291764705882,-94.22274999999999,532.7647058823529,18686.029411764706
670.0,1900-01-01 11:00:07,29.98442,-94.20246,534.3,18885.0
680.0,1900-01-01 11:00:17,29.99682,-94.18266,535.3,19085.0
690.0,1900-01-01 11:00:27,30.00922,-94.16286,536.3,19285.0
700.0,1900-01-01 11:00:37,30.02196,-94.14291,537.6,19480.0
710.0,1900-01-01 11:00:47,30.035493333333335,-94.12261,539.6,19663.333333333332
720.0,1900-01-01 11:00:57,30.049026666666666,-94.10231,541.6,19846.666666666668
730.0,1900-01-01 11:01:07,30.062479999999997,-94.08195333333333,543.5333333333333,20028.333333333332
740.0,1900-01-01 11:01:17,30.075746666666667,-94.06146444444444,545.3111111111111,20206.11111111111
750.0,1900-01-01 11:01:27,30.089013333333334,-94.04097555555556,547.0888888888888,20383.88888888889
760.0,1900-01-01 11:01:37,30.10228,-94.02048666666667,548.8666666666667,20561.666666666668
770.0,1900-01-01 11:01:47,30.115546666666667,-93.99999777777778,550.6444444444444,20739.444444444445
780.0,1900-01-01 11:01:57,30.12911891891892,-93.9808081081081,552.2972972972973,20910.135135135137
790.0,1900-01-01 11:02:07,30.142767567567567,-93.96194324324325,553.918918918919,21079.054054054053
800.0,1900-01-01 11:02:17,30.15641621621622,-93.94307837837839,555.5405405405405,21247.972972972973
810.0,1900-01-01 11:02:27,30.17019,-93.92407666666668,557.1666666666666,21418.333333333332
820.0,1900-01-01 11:02:37,30.185090000000002,-93.90384333333333,558.8333333333334,21601.666666666668
830.0,1900-01-01 11:02:47,30.19999,-93.88361,560.5,21785.0
840.0,1900-01-01 11:02:57,30.214896666666668,-93.86338666666666,562.0333333333333,21973.333333333332
850.0,1900-01-01 11:03:07,30.229863333333334,-93.84325333333334,562.3666666666667,22206.666666666668
860.0,1900-01-01 11:03:17,30.24483,-93.82312,562.7,22440.0
870.0,1900-01-01 11:03:27,30.259776666666664,-93.80303,562.8666666666667,22672.5
880.0,1900-01-01 11:03:37,30.274543333333334,-93.78333,561.5333333333333,22897.5
890.0,1900-01-01 11:03:47,30.28931,-93.76363,560.2,23122.5
900.0,1900-01-01 11:03:57,30.30401666666667,-93.74401666666667,558.1333333333333,23376.666666666668
910.0,1900-01-01 11:04:07,30.318183333333334,-93.72518333333333,549.4666666666667,23893.333333333332
920.0,1900-01-01 11:04:17,30.332349999999998,-93.70635,540.8,24410.0
