step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity
78,29.907163619995117,-95.26563262939453,887.72998046875,6.573348522186279,0.9509586095809937,7.0,1.1257495880126953,1.0,1.1257495880126953,9.199999809265137,0.0,0.008862175047397614,23.539875030517578,0.10000000149011612,2.8804352283477783
79,29.90641975402832,-95.26460266113281,899.1599731445312,6.559382915496826,0.9633801579475403,7.0,1.1224650144577026,1.0,1.1224650144577026,9.199999809265137,0.0,0.008876529522240162,17.577518463134766,0.10000000149011612,2.1445813179016113
80,29.905675888061523,-95.26356506347656,910.5900268554688,6.545326232910156,0.3381723165512085,8.0,1.1191996335983276,1.0,1.1191996335983276,9.199999809265137,0.0,0.008890996687114239,317.6772766113281,0.10000000149011612,38.6461181640625
81,29.90493392944336,-95.26253509521484,922.02001953125,6.531180381774902,0.367385596036911,8.0,1.1159532070159912,1.0,1.1159532070159912,9.199999809265137,0.0,0.008905577473342419,303.6549072265625,0.10000000149011612,36.83311462402344
82,29.904190063476562,-95.2614974975586,933.4500122070312,6.516948223114014,0.3970077931880951,8.0,1.1127256155014038,1.0,1.1127256155014038,9.199999809265137,0.0,0.008920268155634403,289.4362487792969,0.10000000149011612,35.006858825683594
83,29.903446197509766,-95.26046752929688,944.8800048828125,6.502631187438965,0.42692553997039795,8.0,1.1095166206359863,1.0,1.1095166206359863,9.199999809265137,0.0,0.008935067802667618,275.07574462890625,0.10000000149011612,33.17403030395508
84,29.9027042388916,-95.25942993164062,956.3099975585938,6.488232135772705,0.457025945186615,8.0,1.1063261032104492,1.0,1.1063261032104492,9.199999809265137,0.0,0.008949974551796913,260.6275329589844,0.10000000149011612,31.341201782226562
85,29.901960372924805,-95.2583999633789,967.739990234375,6.473753452301025,0.4871971011161804,8.0,1.103153944015503,1.0,1.103153944015503,9.199999809265137,0.0,0.008964987471699715,246.1453857421875,0.10000000149011612,29.51481056213379
86,29.901216506958008,-95.25736999511719,979.1699829101562,6.4591965675354,0.5173283815383911,8.0,1.0999999046325684,1.0,1.0999999046325684,9.199999809265137,0.0,0.008980102837085724,231.68235778808594,0.10000000149011612,27.70115089416504
87,29.90047264099121,-95.25633239746094,990.5999755859375,6.444563865661621,0.547311007976532,8.0,1.096863865852356,1.0,1.096863865852356,9.199999809265137,0.0,0.008995319716632366,217.29071044921875,0.10000000149011612,25.906341552734375
88,29.899730682373047,-95.25530242919922,1002.030029296875,6.42985725402832,0.5770381093025208,8.0,1.0937458276748657,1.0,1.0937458276748657,9.199999809265137,0.0,0.009010637179017067,203.02169799804688,0.10000000149011612,24.13631820678711
89,29.89898681640625,-95.25426483154297,1013.4600219726562,6.415079593658447,0.6064054369926453,8.0,1.0906453132629395,1.0,1.0906453132629395,9.199999809265137,0.0,0.009026053361594677,188.92539978027344,0.10000000149011612,22.396804809570312
90,29.898242950439453,-95.25323486328125,1024.8900146484375,6.400231838226318,0.6353113055229187,8.0,1.0875624418258667,1.0,1.0875624418258667,9.199999809265137,0.0,0.009041566401720047,175.05056762695312,0.10000000149011612,20.693307876586914
91,29.897499084472656,-95.252197265625,1036.3199462890625,6.385316848754883,0.6636573076248169,8.0,1.0844969749450684,1.0,1.0844969749450684,9.199999809265137,0.0,0.009057173505425453,161.44448852539062,0.10000000149011612,19.031095504760742
92,29.896745681762695,-95.25103759765625,1042.579345703125,6.370335578918457,0.6913482546806335,8.0,1.173144817352295,1.0,1.173144817352295,9.199999809265137,0.0,0.009074226021766663,148.15283203125,0.10000000149011612,18.89181900024414
